,source,title,year,rating,score,genres,runtime,runtime_min,director_name,director_role,actors,description,poster,url,scraped_at
0,IMDb,City of God,2002,,8.6,"['Caper', 'Coming-of-Age', 'Gangster', 'Crime', 'Drama']",2h 10m,130,,,"['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen', 'Douglas Silva']","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25,2025-03-19 23:15:36.598273
1,IMDb,Wicked,2024,,7.3,"['Fairy Tale', 'Pop Musical', 'Fantasy', 'Musical', 'Romance']",2h 40m,160,,,"['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey']","Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, the...",,https://www.imdb.com/title/tt1262426/?ref_=chtmvm_t_25,2025-03-19 23:15:39.175598
2,IMDb,Last Breath,2025,,7.4,"['Sea Adventure', 'Drama', 'Thriller']",1h 33m,93,,,"['Woody Harrelson', 'Simu Liu', 'Finn Cole', 'Cliff Curtis', 'Mark Bonnar']",A true story that follows seasoned deep-sea divers as they battle the raging elements to rescue their crew mate trapped hundreds of feet below the ocean's surface.,,https://www.imdb.com/title/tt14403504/?ref_=chtbo_t_10,2025-03-19 23:15:40.768481
3,IMDb,Gladiator II,2024,,8.5,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']",2h 28m,148,,,"['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn']","After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to it...",,https://www.imdb.com/title/tt9218128/?ref_=sr_t_25,2025-03-19 23:15:43.311106
4,IMDb,Suits,2011,,8.1,"['Legal Drama', 'Workplace Drama', 'Comedy', 'Drama']",,0,,,"['Gabriel Macht', 'Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty', 'Rick Hoffman']","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",,https://www.imdb.com/title/tt1632701/?ref_=sr_t_25,2025-03-19 23:15:46.232745
5,IMDb,Toxic Town,2025,,8.4,"['Legal Drama', 'Drama']",7h 93m,513,,,"['Jodie Whittaker', 'Aimee Lou Wood', 'Claudia Jessie', 'Robert Carlyle', 'Rory Kinnear']",The tragic toxic waste case in the East Midlands and three mothers fighting for the justice for the rates of upper limb defects in babies born in Corby were subsequently found to be three ti...,,https://www.imdb.com/title/tt28631067/?ref_=sr_t_25,2025-03-19 23:15:48.336892
6,IMDb,The Vampire Diaries,2009,,8.2,"['Steamy Romance', 'Supernatural Fantasy', 'Teen Drama', 'Teen Fantasy', 'Teen Horror', 'Teen Romance', 'Vampire Horror', 'Drama', 'Fantasy', 'Horror']",,0,,,"['Nina Dobrev', 'Paul Wesley', 'Ian Somerhalder', 'Kat Graham', 'Candice King']","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire bro...",,https://www.imdb.com/title/tt1405406/?ref_=sr_t_25,2025-03-19 23:15:51.293399
7,IMDb,Lost,2004,,8.1,"['Adventure Epic', 'Psychological Drama', 'Survival', 'Suspense Mystery', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",,0,,,"['Jorge Garcia', 'Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly', ""Terry O'Quinn""]",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,,https://www.imdb.com/title/tt0411008/?ref_=sr_t_25,2025-03-19 23:15:53.920131
8,IMDb,Sonic the Hedgehog 3,2024,,6.5,"['Animal Adventure', 'Fantasy Epic', 'Globetrotting Adventure', 'Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",1h 50m,110,,,"['Jim Carrey', 'Ben Schwartz', 'Keanu Reeves', 'Idris Elba', ""Colleen O'Shaughnessey""]","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team So...",,https://www.imdb.com/title/tt18259086/?ref_=sr_t_25,2025-03-19 23:15:56.102967
9,IMDb,Pride & Prejudice,2005,,8.8,"['Costume Drama', 'Feel-Good Romance', 'Period Drama', 'Romantic Epic', 'Drama', 'Romance']",2h 9m,129,,,"['Keira Knightley', 'Matthew Macfadyen', 'Brenda Blethyn', 'Donald Sutherland', 'Talulah Riley']","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome t...",,https://www.imdb.com/title/tt0414387/?ref_=sr_t_25,2025-03-19 23:15:57.912729
10,IMDb,The Passenger,2023,,5.0,"['Drama', 'Thriller']",1h 34m,94,,,"['Merah Benoit', 'Johnny Berchtold', 'Betsy Borrego', 'Angie Dillard', 'Rob Eubanks']",A man is forced to face his fears and confront his troubled past. He must find a way to survive when his co-worker snaps and goes on a violent killing spree.,,https://www.imdb.com/title/tt21979910/?ref_=sr_t_25,2025-03-19 23:16:00.593026
11,IMDb,The Unbearable Weight of Massive Talent,2022,,7.3,"['Buddy Comedy', 'Satire', 'Spy', 'Action', 'Comedy', 'Crime', 'Thriller']",1h 47m,107,,,"['Nicolas Cage', 'Pedro Pascal', 'Tiffany Haddish', 'Sharon Horgan', 'Paco León']",Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.,,https://www.imdb.com/title/tt11291274/?ref_=sr_t_25,2025-03-19 23:16:03.102699
12,IMDb,Incendies,2010,,8.3,"['Suspense Mystery', 'Drama', 'Mystery', 'War']",2h 11m,131,,,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel', 'Hussein Sami']",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,,https://www.imdb.com/title/tt1255953/?ref_=sr_t_25,2025-03-19 23:16:05.499850
13,IMDb,The Super Mario Bros. Movie,2023,,7.8,"['Action Epic', 'Adventure Epic', 'Computer Animation', 'Fantasy Epic', 'High-Concept Comedy', 'Quest', 'Slapstick', 'Adventure', 'Animation', 'Comedy']",1h 32m,92,,,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Kevin Michael Richardson']","Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.",,https://www.imdb.com/title/tt6718170/?ref_=sr_t_25,2025-03-19 23:16:10.705982
14,IMDb,Hunt,2018,,7.3,"['Coming-of-Age', 'Psychological Drama', 'Teen Drama', 'Drama', 'Short']",,0,,,"['Giuliana Consonni Blom', 'Ingebjørg Buen', 'Ulrik William Græsli', 'Håvid Kringstad Hagen', 'Audun Hølland']","14-year-old Asgaut struggles to adjust to life in the small village where he and his mother have settled. After one day receiving unexpected help from the farmer Kjell, Asgaut starts working...",,https://www.imdb.com/title/tt9876120/?ref_=sr_t_25,2025-03-19 23:16:12.732852
15,IMDb,1883,2021,,8.3,"['Period Drama', 'Western Epic', 'Drama', 'Western']",,0,,,"['Tim McGraw', 'Sam Elliott', 'Faith Hill', 'Isabel May', 'LaMonica Garrett']","The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what woul...",,https://www.imdb.com/title/tt13991232/?ref_=sr_t_25,2025-03-19 23:16:15.205213
16,IMDb,Attack on Titan,2013,,8.9,"['Action Epic', 'Adult Animation', 'Anime', 'Monster Horror', 'Shōnen', 'Survival', 'Tragedy', 'Action', 'Adventure', 'Animation']",,0,,,"['Jessie James Grelle', 'Bryce Papenbrook', 'Trina Nishimura', 'Yûki Kaji', 'Yui Ishikawa']","After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",,https://www.imdb.com/title/tt2560140/?ref_=sr_t_24,2025-03-19 23:16:17.831892
17,IMDb,I'm Still Here,2024,,7.5,"['Docudrama', 'Period Drama', 'Political Drama', 'Biography', 'Drama', 'History']",2h 17m,137,,,"['Fernanda Torres', 'Fernanda Montenegro', 'Selton Mello', 'Valentina Herszage', 'Maria Manoella']",A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,,https://www.imdb.com/title/tt14961016/?ref_=sr_t_21,2025-03-19 23:16:20.281527
18,IMDb,Dexter,2021,,8.0,"['Psychological Drama', 'Psychological Thriller', 'Serial Killer', 'Suspense Mystery', 'Crime', 'Drama', 'Mystery', 'Thriller']",,0,,,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar', 'C.S. Lee']","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.",,https://www.imdb.com/title/tt0773262/?ref_=sr_t_18,2025-03-19 23:16:21.988842
19,IMDb,Solo Leveling,2024,,8.7,"['Action Epic', 'Anime', 'Dark Fantasy', 'One-Person Army Action', 'Supernatural Fantasy', 'Survival', 'Action', 'Adventure', 'Animation', 'Fantasy']",,0,,,"['Taito Ban', 'Jimmy Tandel', 'Makoto Furukawa', 'Daisuke Hirakawa', 'Haruna Mikawa']",Follows the adventures of Sung Jinwoo in a world that is constantly threatened by monsters and evil forces. In his battles Sung transforms himself from the weakest hunter of all mankind to o...,,https://www.imdb.com/title/tt21209876/?ref_=sr_t_17,2025-03-19 23:16:25.128979
20,IMDb,Breaking Bad,2008,,9.0,"['Drug Crime', 'Epic', 'Psychological Drama', 'Psychological Thriller', 'Tragedy', 'Crime', 'Drama', 'Thriller']",,0,,,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt', 'RJ Mitte']",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.,,https://www.imdb.com/title/tt0903747/?ref_=sr_t_16,2025-03-19 23:16:27.752882
